symbol,direction,freshness,breakout_score,direction_confidence,deep_selection_tier,confirmation_available,confirmation_score,confirmation_label,price_return_1d,price_return_5d,realized_vol_20d_ann,normalized_5d_shock,distance_to_20d_high,distance_to_20d_low,distance_to_63d_high,distance_to_63d_low,follow_through_3d,confirmation_data_mode,confirmed_breakout_score,confirmed_breakout_rank
BLMN,DOWN,CONTINUING,87.64212292579704,70.06443771000781,not_selected,True,95.17337870780814,CONFIRMED,-0.0409291910531423,-0.12688823667256988,0.5936826170209164,-1.517337870780816,-0.2545141882218517,0.0,-0.26835444749423487,0.1363040558655657,1.0,close_based,86.38596261724253,35.0
ANGI,UP,NEW,88.44960951437739,69.16698139754929,core,True,92.80481335023497,CONFIRMED,0.06012028146198478,0.12076275360135824,0.6695376798625424,1.280481335023497,0.0,0.16008772548986383,-0.17857144179339934,0.22170901964481038,1.0,close_based,85.89964504176903,36.0
GCL.L,DOWN,CONTINUING,88.10542009144112,67.20393123180374,core,True,94.5070400306143,CONFIRMED,-0.007042240183685933,-0.16814163036327856,0.4970646627744776,-2.401472583958572,-0.21666666666666667,0.0,-0.21666666666666667,0.025454545454545174,1.0,close_based,85.8456083012656,37.0
BCAT,DOWN,CONTINUING,85.6568169984644,63.65071824778406,not_selected,True,99.99999999999999,CONFIRMED,-0.06976742095052857,-0.07788156422084747,0.2654158353730167,-2.083162281175506,-0.0796019738211654,0.0,-0.0796019738211654,0.0,1.0,close_based,85.55855214878899,38.0
MTRX,DOWN,CONTINUING,88.97167911334219,69.0592190711316,core,True,90.35891740789044,CONFIRMED,-0.0020161751622832513,-0.07303377007091483,0.3106663637358225,-1.668955488084325,-0.13385832421655197,0.0,-0.29184549766111023,0.0,1.0,close_based,85.40535859326455,39.0
ONL,DOWN,CONTINUING,87.73915047166807,66.21814421179378,core,True,94.23060098916436,CONFIRMED,-0.016194316352106997,-0.07251901797748961,0.2829035470473264,-1.8198214930479861,-0.17346938113512222,0.0,-0.17905404208087872,0.0,1.0,close_based,85.3823843749421,40.0
RPT,DOWN,CONTINUING,87.15650678126872,63.32219692433624,core,True,97.07709993734206,CONFIRMED,-0.022462599624052393,-0.08417770304975092,0.19304465660535597,-3.0956692567883946,-0.11052233413557,0.0,-0.1902136585351747,0.10536217060219544,1.0,close_based,85.36582275670423,41.0
NTST,DOWN,NEW,86.82512872643007,66.58182228911265,not_selected,True,95.29712719298674,CONFIRMED,-0.011782763157920484,-0.04599398760676132,0.15630208980473587,-2.0890630488518296,-0.06223274579597937,0.0,-0.1237395463640556,0.015914478287781808,1.0,close_based,85.31806697893359,42.0
QDEL,DOWN,CONTINUING,95.90268061174976,83.58007848456568,core,True,68.74665627490994,PARTIAL,0.01317030496853544,-0.1479430249024427,0.5489597758214942,-1.913239061713435,-0.29699734514993104,0.01317030496853544,-0.41050902091318464,0.01317030496853544,0.6666666666666666,close_based,85.29135288526099,43.0
ACS.MC,DOWN,CONTINUING,94.1503060469044,78.64673576909549,not_selected,True,74.03608514465947,CONFIRMED,0.0009551681607504747,-0.0287302912908447,0.17436291703039333,-1.1697718645441215,-0.05415162305724153,0.0009551681607504747,-0.20810404614280398,0.0009551681607504747,0.6666666666666666,close_based,85.01532572066915,44.0
XRX,UP,CONTINUING,90.86594751505676,76.61700755224099,adaptive,True,79.58345754859386,CONFIRMED,0.005780341244511877,0.10828022382492475,0.5028630257462627,1.5286734007841887,0.0,0.22535215642475537,-0.002865326772473087,0.34883725658201636,0.6666666666666666,close_based,84.63141253255475,45.0
PSKY,UP,NEW,84.87600737825667,68.98261409349126,adaptive,True,94.65570384017174,CONFIRMED,0.011807457923560971,0.09505666601013418,0.3486717553985336,1.9354460852911597,0.0,0.09505666601013418,0.0,0.432967859868403,1.0,close_based,84.63123765987811,46.0
NUVB,DOWN,CONTINUING,85.98119720590377,69.53784850703754,adaptive,True,91.4096962455735,CONFIRMED,-0.0034482724601393455,-0.11349689774278304,0.4603840233059875,-1.7501650835550286,-0.20385674551162258,0.0,-0.20385674551162258,0.08442782224083056,1.0,close_based,84.32107717803144,47.0
NHY.OL,DOWN,CONTINUING,84.84883135475596,66.48124981058619,not_selected,True,95.04683861942415,CONFIRMED,-0.01028103171654493,-0.08317460963334988,0.2904263285617397,-2.0331529677322293,-0.0891505793952293,0.0,-0.14933725392580488,0.047642111085833605,1.0,close_based,84.23471722532247,48.0
