symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,challenger_dynamic_score,challenger_tier,challenger_rank,live_selected
DRH,357,0.0350877248892658,0.0024272400872844,0.0453624885823145,0.3364174894043104,0.0372960020594029,2282550.0,869,False,58.57154578659844,72.55972343220826,0.0,60.23011505752877,adaptive,adaptive_balanced,True,58.57154578659844,adaptive500,829,True
FCM.L,359,0.1228070718466465,0.3617022032109607,-0.1688311358571024,1.5600000381469727,0.1794871873247394,3752618.0,1844,False,58.53316776859408,63.10894146219848,0.0,74.98749374687344,adaptive,adaptive_balanced,True,58.53316776859408,adaptive500,830,True
ACGL,357,0.0138961638676942,-0.0078723715600251,0.0605464580931949,0.0356457211960219,0.0405378534591994,2318950.0,1159,False,58.401615506653705,59.99107590557534,57.82752815618886,60.93046523261631,adaptive,adaptive_balanced,True,58.401615506653705,adaptive500,831,True
GSHD,357,-0.0476572727093544,-0.0784161945978911,0.6463245417522063,0.3209436472513038,0.1869863222723138,277800.0,699,False,58.39992315476515,81.73521953426354,0.0,21.160580290145077,adaptive,adaptive_balanced,True,58.39992315476515,adaptive500,832,True
MUR,357,0.0750399030713691,0.1602527823078676,0.11970395866789,0.1486539353201319,0.0,1458750.0,1009,False,58.31718669892802,75.19937889199205,0.0,47.62381190595298,adaptive,adaptive_balanced,True,58.31718669892802,adaptive500,833,True
VTURA.OL,355,0.0897833310952989,0.2054794466860146,0.2137931297565329,0.3750000093132255,0.0460704794753789,148548.0,1989,False,58.20343877156684,88.17307371779609,0.0,15.107553776888444,adaptive,adaptive_momentum,True,58.20343877156684,adaptive500,834,True
ITUB,357,-0.006016869820708,0.1227212324524535,0.0498544110976779,0.0278748047049999,0.0084033247857553,21080550.0,1305,False,58.161663209049664,62.978840028796895,0.0,97.0985492746373,not_selected,,False,58.161663209049664,adaptive500,835,False
SBMO.AS,362,-0.0043501863165414,0.0217633587046888,0.1335383524684656,0.1386960164850155,0.0043501863165414,387922.5,1944,False,58.12083458650089,72.51452205006962,0.0,24.412206103051524,not_selected,,False,58.12083458650089,adaptive500,836,False
TRMD-A.CO,351,0.0621062252083302,0.2152269512445306,0.2542011268310558,0.2915262777420608,0.0,359999.5,1639,False,58.0934081765078,87.0591166105949,0.0,23.411705852926463,adaptive,adaptive_momentum,True,58.0934081765078,adaptive500,837,True
REN.AS,362,-0.0180844241289178,0.0082530870614794,0.0407032746819759,-0.0161262594499952,0.0662420365915728,786586.0,1931,False,58.09322193324076,55.683651252300535,69.14860105234169,33.866933466733364,not_selected,,False,58.09322193324076,adaptive500,838,False
UNM,357,0.0192409648609082,0.0477542893145375,0.0503525863688669,0.3319233543164466,0.0071451014143808,1360000.0,1261,False,58.08565177778576,75.14060893656,0.0,46.3231615807904,not_selected,,False,58.08565177778576,adaptive500,839,False
FCX,357,-0.0944923679670193,0.0146241596982517,-0.0082931816997101,0.2032028162046346,0.1317733190604817,14564300.0,1369,False,58.04929501378834,63.30591967964861,0.0,94.99749874937469,not_selected,,False,58.04929501378834,adaptive500,840,False
OBDC,357,-0.0089525855672961,-0.0356845536795228,0.0294915049498398,0.0628223023792726,0.0398959279098295,2640350.0,929,False,57.96615407244457,56.8854504276114,64.0943642584511,65.43271635817909,not_selected,,False,57.96615407244457,adaptive500,841,False
GIS,357,-0.029450698755603,-0.036861446236321,0.0858825601034558,-0.0292121336182962,0.1196148615466848,8411400.0,1116,False,57.884398013351294,55.87510784827288,39.42344427481738,90.44522261130564,not_selected,,False,57.884398013351294,adaptive500,842,False
SE,357,-0.0942380669956827,-0.140644586451038,0.1845141609515173,0.1722051145781375,0.1666666563438402,3818050.0,1460,False,57.78363704280378,67.58543824215718,0.0,75.53776888444223,not_selected,,False,57.78363704280378,adaptive500,843,False
NDA-FI.HE,355,-0.0067435143983651,0.0178519706322126,0.0937889509586185,0.2302104966136584,0.0131211955529703,3421624.0,1718,False,57.73772222494564,73.56418267816676,0.0,72.38619309654828,not_selected,,False,57.73772222494564,adaptive500,844,False
NVGS,357,0.0919999864366318,0.1438879732224622,0.0840275254966302,0.3459195880877277,0.0,370000.0,670,False,57.71996055551523,79.96074743054992,0.0,23.961980990495245,not_selected,,False,57.71996055551523,adaptive500,845,False
NVAX,357,-0.0942100174366112,0.1437422417941463,0.0021714988063539,-0.0843254353078617,0.1073501541558248,5607500.0,446,False,57.686905946096616,51.56545864929142,65.90401679873912,83.991995997999,adaptive,adaptive_pullback,True,57.686905946096616,adaptive500,846,True
