symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected
PDT,354,0.003804298498314651,-0.014727430728945334,0.0015188103615799697,-0.0037864353372148996,0.013968892369704666,116850.0,105,True,29.145106917860755,40.490461947751015,0.0,13.606803401700851,core,core,True
TNK,358,0.15012259029511887,0.18302389981754996,0.18092373528776795,0.2728866713236118,0.00011224482282523596,338550.0,106,True,59.51894519170279,79.5035856139472,0.0,22.961480740370185,core,core,True
IHS,354,0.0036144255761199062,0.02083334307265461,0.008474539090139288,0.0,0.0023952642934073065,515250.0,107,True,33.47104599445623,44.054786218042906,0.0,27.71385692846423,core,core,True
KYN,358,0.021269765811716024,0.015723187066032818,0.0496888597763534,0.12669896440805273,0.0005609869113523125,313250.0,108,True,45.31949512781542,56.81909766213996,0.0,22.061030515257627,core,core,True
DDI,358,0.03314469290260447,0.12599112805635793,0.043265284324178976,0.4808805983195663,0.010835939821674745,74250.0,109,True,52.08615834307201,70.6982628635293,0.0,9.804902451225612,core,core,True
DSX,358,0.122881446255247,0.19369372126827944,-0.006931968323050874,0.10886912250748004,0.003759394789693782,656900.0,110,True,45.71671673196534,55.09972667559482,0.0,31.81590795397699,core,core,True
NINE,97,-0.030621980924870673,-0.11989575039087386,-0.044339646237224084,,0.18372278493191485,50400.0,111,True,23.309636366081957,35.316999706141644,0.0,7.953976988494247,core,core,True
ALL,355,-0.04290431545263096,0.06714630551633682,0.2037659188232177,0.27373886625865484,0.06182974138982944,1473400.0,112,True,68.79492609218863,77.38434294956717,79.11915686093246,48.57428714357179,core,core,True
ALL-PH,358,-0.019422516887295016,-0.052738288255132826,-0.06598466390249169,-0.10298651260349878,0.045965251380855165,102827.5,113,True,34.37269414182721,26.58316191595651,70.90529447075234,12.606303151575787,core,core,True
HQH,358,0.0243485561101886,0.12740945115887348,0.25555312771135164,0.2709267959041799,0.0,210000.0,114,True,60.468932180338804,82.18559112499578,0.0,18.209104552276138,core,core,True
HTD,358,0.008592923717485101,-0.002761631155687505,0.04363126809824913,0.043605880743592174,0.014997709523415281,47100.0,115,True,38.60791843515009,49.527999041347314,0.0,7.453726863431716,core,core,True
ETY,358,-0.0021597089623521804,0.02569343904885768,0.019193990985493015,0.025452975866048444,0.008219505370758773,250500.0,116,True,39.30049158102449,47.631448926453515,0.0,19.909954977488745,core,core,True
AII,317,0.21703168649164595,0.36517470772380434,0.27602039500605535,0.4523232732258098,0.0,114339.5,117,True,57.41769767600894,88.52287849920273,0.0,13.506753376688344,core,core,True
SLDE,293,0.08304586735720365,0.08620657882441596,0.17662850113149653,0.29990730741059535,0.0,819100.0,118,True,54.03583319432342,77.69053523169046,0.0,36.01800900450225,core,core,True
WB,358,-0.035578111441268545,-0.05124998092651367,-0.08111380844170313,-0.18345422796041355,0.0709914220672998,682700.0,119,True,34.7389256343984,22.271901480371707,71.31083074775583,32.51625812906453,core,core,True
